"Configuration ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Data","","","","","","","","","","","","","","","","","","","","","","","","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","","","","","","","","","","","","","","","","",""
"Month","","2026","","Site","location","","","","","Tel","","","","","Site","location","","","","","Tel","","","","PPA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Day","","","1","Loapattana","มหาสารคาม","119.04","465","256","338.20","Network Site","","0","","1","NR_B","ขอนแก่น","361.46","310","1166","1122.95","Network Site","","0","","January","12,732.74","14,655.54","29,935.15","12,598.65","26,598.65","78,124.65","21,890.06","117,382.02","27,574.58","23,770.64","14,458.64","34,976.16","32,713.11","28,088.77","5,204.55","2,694.99","5,569.08","4,755.99","2,666.76","7,425.90","1,120.37","3,092.55","36,581.67","12,362.12","19,531.43","15,414.31","3,184.57","20,020.07","80,499.88","334,657.51","110,029.68","93,780.53","27,768.27","9,955.60","12,827.38","2,103.79","6,843.62","36,934.08","35,328.95","43,885.51","14,632.11","39,068.04","26,342.69","14,416.35","41,183.50","36,474.65","47,212.22","68,559.49","17,573.80","49,896.98","47,376.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"To Day","16","","2","Poomsuk","ขอนแก่น","194.40","540","360","646.44","Network Site","","0","","2","NR_F","ขอนแก่่น","829.40","325","2552","2772.97","Network Site","","0","","February","13,059.19","16,061.77","35,530.64","17,530.91","37,226.10","71,140.94","20,770.59","110,425.36","31,671.24","27,306.95","16,538.23","36,237.58","30,298.42","26,029.59","6,134.32","3,143.46","6,546.33","6,302.18","3,255.36","8,453.41","1,152.77","3,607.64","40,534.26","12,756.42","19,726.53","16,111.29","3,537.81","20,504.51","86,089.21","341,087.26","111,971.47","109,373.73","32,154.04","12,074.98","15,105.84","4,537.53","9,198.06","32,208.78","34,445.37","65,697.68","17,099.01","40,304.97","21,783.29","11,924.44","34,327.27","46,254.84","56,071.08","64,478.41","20,027.92","54,722.17","42,030.60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","3","KU-THONG","ขอนแก่น","308.70","525","588","886.94","","","0","","3","NR Ph. 3","ขอนแก่น","301.32","325","927","1114.53","Network Site","","0","","March","12,362.50","17,561.86","30,334.08","17,790.69","43,945.06","77,088.39","22,975.87","119,855.07","30,101.51","26,060.13","15,718.58","42,815.70","33,015.77","28,923.95","6,119.26","3,745.13","5,868.47","6,553.97","3,299.28","8,504.11","1,156.10","4,088.27","43,267.77","12,638.74","22,807.83","16,216.05","3,602.81","23,900.59","80,576.92","366,641.13","120,325.92","117,709.05","34,782.55","17,073.74","20,292.28","6,617.99","14,313.37","36,521.63","38,990.59","83,304.38","21,165.21","39,691.48","17,699.05","9,693.27","43,731.04","65,952.63","70,834.53","77,880.63","23,695.83","55,144.45","50,374.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","4","Vgreen","อุบลราชธานี","457.92","530","864","348.44","Network Site","","0","","4","NR Ph. 4","ขอนแก่น","871.20","660","1320","2303.52","Network Site","","0","","April","14,071.21","25,802.60","39,111.56","18,112.60","48,381.66","70,373.10","21,388.79","110,276.62","29,375.64","25,431.88","15,611.02","44,103.12","31,618.04","27,758.31","7,541.45","4,863.32","7,590.74","8,683.33","3,972.45","9,289.33","1,259.91","4,871.80","38,923.54","11,559.86","17,330.13","16,897.37","3,728.17","24,151.36","89,571.23","178,459.80","58,287.50","83,820.48","25,203.15","16,691.35","22,635.06","9,388.54","15,294.25","39,631.56","36,651.78","57,883.47","18,880.11","46,325.54","18,936.75","10,377.39","35,894.23","54,931.95","55,309.00","75,652.75","21,866.67","51,829.20","41,597.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","5","Srisakol Pure Rice Mill","สกลนคร","462.00","550","840","797.94","","","0","","5","NR Farm","ขอนแก่น","132.00","330","400","416.74","063-520-4307","","107","","May","12,068.61","22,582.26","36,212.65","17,415.36","38,186.96","52,317.43","16,122.88","82,651.26","31,462.41","27,174.63","16,512.47","42,165.69","29,484.84","24,843.40","6,612.00","4,318.64","6,209.92","7,401.27","3,494.63","8,903.67","1,204.47","4,138.20","40,885.50","11,961.49","18,161.80","17,966.39","3,802.18","22,634.52","82,841.31","213,153.38","69,744.78","99,018.42","30,000.39","16,742.68","19,875.06","9,036.04","16,426.54","36,595.53","28,836.53","85,414.98","19,461.46","38,622.25","20,063.12","11,032.54","35,836.72","54,781.89","56,786.31","71,862.49","23,155.55","49,141.79","41,501.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","6","Thongthai Ph.1,2,3","จันทบุรี","792.00","550","1440","1572.83","","","0","","6","KFI Ph.1","ขอนแก่น","600.60","325","1848","2339.12","Network Site","","0","","June","12,506.37","24,205.62","35,085.28","21,381.89","29,981.95","53,865.20","16,989.94","86,448.21","32,136.09","27,748.31","16,977.31","38,667.44","27,114.08","22,863.13","7,014.83","4,491.59","6,856.30","7,721.58","3,710.69","9,848.65","1,294.09","4,382.32","45,550.11","12,837.55","22,749.13","17,901.96","3,733.52","21,281.96","62,079.25","264,477.54","86,921.68","85,081.54","25,740.13","16,238.66","21,783.58","8,642.81","15,509.90","37,862.56","24,845.77","81,098.93","17,370.89","33,856.87","18,551.00","10,209.67","46,947.65","50,170.90","52,528.98","73,310.66","24,354.05","40,600.01","44,664.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","9","KWM Ph.1,2,3","ขอนแก่น","401.76","465","864","856.67","","","0","","7","KFI Ph.2","ขอนแก่น","341.76","","","1267.99","Network Site","","0","","July","10,484.17","20,039.61","27,495.00","10,801.57","24,736.00","48,757.60","15,289.45","78,067.36","26,556.80","22,849.29","13,904.12","38,078.10","27,132.79","22,869.70","5,985.07","3,725.80","7,689.42","6,473.92","3,217.88","8,107.95","1,069.04","3,577.48","43,295.99","12,560.22","22,188.92","13,620.58","3,474.31","18,001.45","53,766.29","281,800.83","90,315.00","90,669.71","27,173.54","14,393.93","19,888.48","8,192.77","13,987.28","31,140.04","26,216.43","84,685.28","16,117.73","35,382.19","18,224.68","10,038.62","43,051.11","57,214.61","58,101.12","63,096.30","20,515.84","54,220.83","47,667.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","12","Wiremesh Khon Kaen","ขอนแก่น","385.02","465","828","1228.33","","","0","","8","BWC Ph.1","ขอนแก่น","858.00","330","2600","3258.55","Network Site","","0","","August","12,853.48","22,493.63","32,632.12","8,703.30","23,419.00","59,373.95","19,171.70","98,544.29","27,501.71","23,726.44","14,454.80","35,605.69","26,904.99","23,535.55","6,556.59","4,396.93","7,371.32","7,558.84","3,770.44","8,578.06","1,191.51","3,589.15","48,373.99","12,984.99","20,662.66","16,818.11","3,955.90","20,563.93","69,659.34","243,868.21","79,425.36","65,343.06","19,780.87","15,289.61","23,179.24","8,572.50","14,503.12","35,644.71","25,264.95","95,692.82","16,713.43","36,712.28","18,795.29","10,342.40","51,881.50","50,912.87","51,647.59","69,910.79","22,612.38","53,185.96","49,992.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","13","Wiremesh Korat","โคราช","276.66","530","522","875.25","","","0","","9","KC Ph.1","ขอนแก่น","924.00","330","2800","3517.71","Network Site","","0","","September","10,690.50","18,753.55","23,746.08","23,235.01","20,748.68","50,621.06","15,449.85","80,296.05","25,343.33","22,030.85","13,384.86","34,478.21","26,643.83","23,392.51","5,814.86","3,475.55","7,659.58","6,222.55","3,018.08","7,799.63","1,029.81","3,661.21","43,086.11","12,149.70","24,091.14","17,839.18","3,866.57","21,918.13","60,647.93","275,160.28","92,600.10","90,983.46","27,411.79","14,101.07","18,363.78","7,330.86","11,076.22","29,212.52","24,464.93","78,154.19","14,109.84","28,942.27","14,596.63","8,022.89","43,242.59","44,830.35","46,286.57","57,156.05","18,791.68","51,249.96","42,614.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","14","Wiremesh Chonburi","ชลบุรี","238.50","530","450","737.73","094-281-0673","","15","","10","KC Ph.2","ขอนแก่น","620.40","660","940","2271.27","Network Site","","0","","October","12,552.06","19,904.37","28,308.37","27,231.81","20,234.24","62,950.86","18,085.04","95,014.21","21,915.41","19,044.97","11,543.65","35,285.81","27,633.95","25,184.54","6,795.82","3,879.11","8,172.75","7,151.17","3,211.20","8,337.33","1,143.31","3,559.04","44,542.70","12,880.67","24,412.30","16,125.51","3,854.11","21,236.20","81,613.02","346,014.62","113,148.90","111,006.13","32,888.09","15,239.19","20,462.50","7,908.24","11,678.68","35,046.18","27,526.12","57,133.81","16,921.60","24,472.45","17,170.27","9,422.08","24,231.81","42,488.72","50,522.06","69,756.74","22,050.54","51,317.39","40,821.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
